Archivo_Origen,Pagina_PDF,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal
Lin00950,1,950001,"27° 47' 09,7747''","- 17° 54' 01,6640''",3.6226,43295,0.05,979343.53
Lin00950,2,950002,"27° 47' 10,3410''","- 17° 54' 15,5395''",78.7488,118391,,979326.96
Lin00950,3,950003,"27° 47' 31,5465''","- 17° 53' 53,8381''",156.1121,195831,0.05,979306.99
Lin00950,4,950004,27° 48' 04'',- 17° 53' 53'',237.5752,,,979289.38
Lin00950,5,950005,"27° 48' 04,7598''","- 17° 53' 53,2656''",238.6783,278367,0.05,979289.04
Lin00950,6,950006,"27° 48' 29,4952''","- 17° 53' 53,2674''",285.1964,324913,0.05,979275.11
Lin00950,7,950007,"27° 48' 12,7384''","- 17° 54' 05,9115''",341.7988,381589,0.05,979265.68
Lin00950,8,950008,"27° 48' 26,9449''","- 17° 54' 12,9628''",427.9617,467743,0.05,979244.74
Lin00950,9,950009,"27° 48' 33,8037''","- 17° 54' 39,0290''",496.6150,536471,0.05,979234.68
Lin00951,1,951001,"27° 49' 06,3677''","- 17° 54' 58,7322''",569.7038,609561,0.05,979215.34
Lin00951,2,951002,"27° 49' 15,6622''","- 17° 55' 36,1134''",537.0572,576940,0.05,979228.02
Lin00951,3,951003,"27° 49' 14,1982''","- 17° 56' 12,4314''",518.5765,558532,0.05,979235.89
Lin00951,4,951004,"27° 49' 17,6703''","- 17° 56' 57,8796''",494.6249,534600,0.05,979240.22
Lin00951,5,951005,27° 49' 18'',- 17° 56' 58'',494.8041,,,979240.16
Lin00951,6,951006,"27° 49' 05,0714''","- 17° 57' 22,2876''",547.0586,587045,0.05,979229.21
Lin00951,7,951007,"27° 48' 52,0755''","- 17° 57' 40,1756''",555.4507,595486,0.05,979232.48
Lin00951,8,951008,"27° 48' 42,0059''","- 17° 58' 01,1097''",577.0021,617016,0.05,979230.83
Lin00951,9,951009,"27° 48' 32,3988''","- 17° 58' 26,9107''",609.5162,649566,0.05,979224.3
Lin00951,10,951010,27° 48' 25'',- 17° 58' 28'',640.0722,,,979217.68
Lin00951,11,951011,"27° 48' 17,9062''","- 17° 58' 31,5823''",681.4628,721537,0.05,979209.07
Lin00951,12,951012,"27° 48' 14,4008''","- 17° 57' 58,3976''",734.6784,774804,0.05,979201.76
Lin00951,13,951013,"27° 47' 40,1729''","- 17° 58' 08,0130''",899.9204,938792,,979167.85
Lin00951,14,951014,27° 47' 39'',- 17° 58' 09'',899.9466,,,979167.84
Lin00951,15,951015,"27° 47' 12,4951''","- 17° 58' 23,0024''",988.9900,1029149,0.05,979149.96
Lin00951,16,951016,"27° 46' 49,3893''","- 17° 58' 36,0237''",1085.0057,1125037,,979127.92
Lin00951,17,951017,"27° 46' 22,7508''","- 17° 58' 46,0189''",1174.5170,1214672,0.05,979105.28
Lin00951,18,951018,27° 45' 47'',- 17° 58' 50'',1235.3025,,,979080.81
Lin00951,19,951019,"27° 45' 46,4606''","- 17° 58' 51,5513''",1237.8023,1278001,0.05,979080.04
Lin00951,20,951020,"27° 45' 43,1390''","- 17° 58' 32,1865''",1208.6310,1248885,0.05,979100.45
Lin00951,21,951021,"27° 45' 50,3092''","- 17° 58' 12,8158''",1148.1463,1188366,0.05,979118.42
Lin00951,22,951022,"27° 46' 04,8128''","- 17° 57' 53,6072''",1087.8113,1128051,0.05,979136.99
Lin00951,23,951023,"27° 46' 17,0097''","- 17° 57' 19,9488''",1046.0307,1086326,0.05,979144.51
Lin00951,24,951024,27° 46' 18'',- 17° 57' 19'',1045.9852,,,979144.53
Lin00951,25,951025,"27° 46' 25,3169''","- 17° 56' 43,6192''",1009.0527,1049274,0.05,979147.97
Lin00951,26,951026,"27° 46' 57,7349''","- 17° 56' 16,1603''",1028.4803,1068624,0.05,979132.52
Lin00951,27,951027,"27° 47' 25,6390''","- 17° 55' 58,3884''",921.0741,961104,0.05,979153.22
Lin00951,28,951028,27° 47' 26'',- 17° 55' 58'',918.3367,,,979154.07
Lin00951,29,951029,"27° 47' 46,8459''","- 17° 55' 32,7184''",822.7663,862791,0.05,979167.48
Lin00951,30,951030,"27° 47' 43,1327''","- 17° 55' 17,3490''",726.4933,766460,0.05,979187.1
Lin00951,31,951031,"27° 47' 43,1941''","- 17° 55' 15,0442''",701.9581,743005,,979192.8
Lin00951,32,951032,"27° 48' 07,7285''","- 17° 54' 55,7862''",630.9596,670891,0.05,979205.98
Lin00951,33,951033,"27° 48' 24,9807''","- 17° 54' 54,0486''",584.8042,624941,,979216.77
Lin00951,34,951034,27° 48' 25'',- 17° 54' 54'',582.9771,,,979217.33
Lin00951,35,951035,27° 48' 25'',- 17° 54' 54'' ,584.8067,,,979216.77
